🔒 Row ID,Session Title,Date,Start Time,End Time,Speaker Name,Position,Topic,Hall Location,Session Image,Venue location,Status
agr-001,Welcome Note,2026-03-13T12:00:00.000Z,10:00 AM,10:05AM,Kasturi Cotha,"Global Head HR, Subex & Hon. VP NRHD Bangalore chapter ",,Auditorium,https://storage.googleapis.com/glide-atc-prod-agent-service/generated-images%2Fgenerated-1760194885666-521ecc96-869e-4bd2-8d31-10e986f84a5a.jpg,,Live
agr-002,Inaugural Ceremony,2026-03-13T12:00:00.000Z,10:05 AM,10:10 AM,,,,Auditorium,https://storage.googleapis.com/glide-atc-prod-agent-service/generated-images%2Fgenerated-1773036673551-65bbde7c-21b6-43c8-afb6-534b8a071f72.jpg,,
agr-003,Inauguration Speech,2026-03-13T12:00:00.000Z,10:10 AM,10:20 AM,Sri Prof N Sivakumar,"Dean, SSSIHL",,Auditorium,https://storage.googleapis.com/glide-atc-prod-agent-service/generated-images%2Fgenerated-1773036673461-00b25105-0352-45ed-9e5c-92d44b2b42b4.jpg,,
agr-004,Key Note Address,2026-03-13T12:00:00.000Z,10:20 AM,10:40 AM,Krish Shankar,"Independent Director and founding Mentor - Crossmentors, Group Head (Ex) – HR, Infosys 
National Past President, NHRDN","The Future-Ready CHRO: Governing Technology with Empathy, Ethics, and Evidence
Leadership capabilities for the next decade
Aligning AI strategy with organizational culture
Sustaining ethical, inclusive workplaces",Auditorium,https://storage.googleapis.com/glide-atc-prod-agent-service/generated-images%2Fgenerated-1761939320471-679fab4c-a8f0-4317-af9c-a8519a30ae7b.jpg,,
agr-005,White Paper Release,2026-03-13T12:00:00.000Z,"10:40 AM
",10:50 AM,Animesh N Rai,"Chief Operating Officer, Ripples Learning & Research","HR 4.0 AI EI Survey: 
Overview on the conceptualization and the process of Whitepaper by CHRMP",Auditorium,https://storage.googleapis.com/glide-atc-prod-agent-service/generated-images%2Fgenerated-1764696030529-92d74fda-9b5f-4f77-a151-f93cca33a744.jpg,,
agr-006,Beverage Break,2026-03-13T12:00:00.000Z,10:50 AM,11:00 AM,,,,,https://storage.googleapis.com/glide-atc-prod-agent-service/generated-images%2Fgenerated-1764158482779-f230eedb-7944-4a24-81a8-81a7b0b728e3.jpg,,
agr-007,Fireside Chat,2026-03-13T12:00:00.000Z,11:00 AM,11:30 AM,"Swati Rustagi, Dr. Rajesh Puneyani & Dr. Vishal Shah",,"From Burnout to Belonging: Rehumanizing Work in AI-Intensive Organizations 
(Well-being and culture)
Compassionate performance management
Flexible work for life stages
Well-being, trust, and engagement in digital workplaces",,https://storage.googleapis.com/glide-atc-prod-agent-service/generated-images%2Fgenerated-1773036673804-26a932f8-0f3a-41a7-83d0-26c99ab54f96.jpg,,
agr-008,Round Table Discussion,2026-03-13T12:00:00.000Z,11:00 AM,12:30 PM,"Shashikala BG, Sirisha Moparthi, Ayush Anand, Satyadeep Pothapragada, Karthick, Malathi K S, Dr Sai Giridhar Sairam, Murthy D N, Dr. Daya Sindhu, Parna Bhattacharyya, Harsha Angeri, Sangeetha Gururaj, Henry Jacob, Dr. Sundaraparipurnan Narayanan, Dr. Saikat Saha, K Sai Kiran, Indrani Nath, Animesh N Rai",,"Reskilling vs. Replacement: Ethical Choices in Workforce Transformation 
(Highly relevant to AI anxiety in the workforce)
Reskilling as a corporate default
Managing AI-led job transitions
Multi-generational workforce strategies
Sustaining employability and organizational performance",,https://storage.googleapis.com/glide-atc-prod-agent-service/generated-images%2Fgenerated-1773036673512-e146d086-5ae8-42d1-aec7-09143094cd4f.jpg,,
agr-009,Panel Discussion,2026-03-13T12:00:00.000Z,11:30 AM,12:15 PM,"Kunjvihari Jandhyala, Sivakumar B, Kameshwari Rao, Kasturi Cotha    -    Moderator : Karthik Shenoi",,"Designing Compassionate Performance Systems in High-Pressure Organizations
(Application layer focus)
How the performance system can decouple ‘failure of outcome’ from ‘failure of personhood’
Assign ‘Weightage’ to peer coaching, culture-building, and knowledge sharing so they are seen as work rather than distractions from work
The Manager-as-Enablement-Lead vs. Manager-as-Judge",,https://storage.googleapis.com/glide-atc-prod-agent-service/generated-images%2Fgenerated-1773036673834-ceca8cad-790a-4fc9-ba59-49a22194c07e.jpg,,
agr-010,Poster Exhibition,2026-03-13T12:00:00.000Z,12:15 PM,12:30 PM,,,,Auditorium,https://storage.googleapis.com/glide-atc-prod-agent-service/generated-images%2Fgenerated-1773036674368-c0ad4f5b-b109-4032-bbe3-654ec16257c4.jpg,,
