🔒 Row ID,Name,Photo,LinkedIn Profile,Organization,Job Title
spe-001,Kasturi Cotha,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/FqWtjKtbbOywxtBgylYN/pub/emhqfcY6QzT628ORdt3s.jpg,https://www.linkedin.com/in/kasturicotha/,Subex,Global Head - HR
spe-002,Prof. N Sivakumar,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/FqWtjKtbbOywxtBgylYN/pub/haC1nG75ZPHm3PwllGDx.jpg,https://www.linkedin.com/in/prof-n-sivakumar-4425a692/,SSSIHL,Dean
spe-003,Krish Shankar,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/FqWtjKtbbOywxtBgylYN/pub/AzjrXMsue0U6wRHMQv5y.jpg,https://www.linkedin.com/in/krish-shankar-36666a12/,-,ex National President NHRD and ex CHRO Infosys
spe-004,Animesh Rai,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/FqWtjKtbbOywxtBgylYN/pub/kjmvj17mZt1fNxIN97N0.jpg,https://www.linkedin.com/in/animesh-rai-b0079a6/,Ripples Learning & Research,COO
spe-005,Swati Rustagi,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/FqWtjKtbbOywxtBgylYN/pub/jPLeeiPbZH57WUijoQtz.jpg,https://www.linkedin.com/in/swati-rustagi-0256278/,"Adobe
NHRD Bangalore","VP - Emp Exp 
Hon. President"
spe-006,Dr. Rajesh Puneyani,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/FqWtjKtbbOywxtBgylYN/pub/qTqultiN90b6ESEeY4vg.jpg,https://www.linkedin.com/in/rajeshpuneyani/,"Kenvue Solutions, India ",Vice President & GCC Site leader 
spe-007,Dr. Vishal Shah,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/FqWtjKtbbOywxtBgylYN/pub/6xqSNFHpt1QGRrapJxzv.jpg,https://www.linkedin.com/in/dr-vishal-shah/,Indegene,VP- Leadership & Dev
spe-008,Shashikala B G,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/FqWtjKtbbOywxtBgylYN/pub/JsFH1se6xH4SgotdANS5.jpg,https://www.linkedin.com/in/shashikala-b-g-5083a3280/,CSG,Head of L&D
spe-009,Sirisha M ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/FqWtjKtbbOywxtBgylYN/pub/S9ZpS0OsF5i6hy2GBpso.JPG,https://www.linkedin.com/in/sirishamoparthi-strategichrexpert-businesspartner/,Miiliman,Senior HR Business Partner (Head - APAC) Global Corporate Services
spe-010,Ayush Anand,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/FqWtjKtbbOywxtBgylYN/pub/HcEeRya99LACcINLsTTB.jpeg,-,BSES,Head Learning & Development
CpATKmEW09SglN4Ebnq1,Satyadeep,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/FqWtjKtbbOywxtBgylYN/pub/AgGBskOPzN5342bpoMQN.jpg,https://www.linkedin.com/in/p-satyadeep/,Toyota Financial Services India,HR Head 
qJjzF4TQP7Or6Q2BIo8o,Malathi K S,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/FqWtjKtbbOywxtBgylYN/pub/vPOj1bwNUyLKvJmiZT0B.jpg,https://www.linkedin.com/in/malathiinaction/,Mercer,Director Rewards consulting Leader
6uIKgVnIsm9BSfzeAEYJ,Dr. Sai Giridhar ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/FqWtjKtbbOywxtBgylYN/pub/JZOuOE8VMtIMvHVq4xKX.jpg,https://www.linkedin.com/in/saigiridharsairam/,-,Leadership Coach
V7KYiBxHOB4YagPVGObL,Murthy D N,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/FqWtjKtbbOywxtBgylYN/pub/JbKspwyp9VObJ7NTlWBJ.jpg,https://www.linkedin.com/in/murthy-d-n-239b2b7/,Acctpro Advisory Services LLP,Partner - HR & Talent Consulting
yCQATBWAwh77iiDATU9N,Daya Sindhu,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/FqWtjKtbbOywxtBgylYN/pub/x5eLgzikB2LilfGiv2lx.jpg,https://www.linkedin.com/in/dayasindhu/,itihaasa Research,Co-founder and CEO
a8i5fIjphvzy5gHkZ4kz,Parna Bhattacharyya ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/FqWtjKtbbOywxtBgylYN/pub/KmLZRrVYKNFtT8o7HIgx.JPG,https://www.linkedin.com/in/parna-bhattacharyya-1a559020/,ABB,Talent and Learning Partner - India and South East Asia and Diversity and Inclusion Leader 
rMOK0qHM0Sgaoflbd0uY,Harsha Angeri ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/FqWtjKtbbOywxtBgylYN/pub/IjwMhCD6QtmZkOKzT3O6.png,https://www.linkedin.com/in/harshaangeri/,Subex Ltd,VP & Head of AI Business Corporate Strategy
wlJ2C8LCfhvfMXDxY7wc,Sangeetha Gururaj,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/FqWtjKtbbOywxtBgylYN/pub/bDaOLtKu3lyKBIq192RA.jpeg,https://www.linkedin.com/in/sangeetha-gururaj-b98b2a4/,Voya India,Sr. VP HR
vmT4LHSHfIjR2l92Rv2p,Henry Jacob,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/FqWtjKtbbOywxtBgylYN/pub/phQGwwwLPW1qxgGfyRUU.jpg,https://www.linkedin.com/in/henrydjacob/,Aokah,Chief Technical Officer & Author
